Market,Ticker,Price,Stage,Resistance,Support,Range_Width_Pct,Base_Weeks,Distance_to_Breakout,Prior_Decline_Pct,Mansfield_RS,Res_Touches,Sup_Touches,Vol_Spike_2x,Vol_4W_Expansion,Sector,Industry
US,COF,208.02999877929688,pre_breakout,210.04566051467728,174.6927696326039,20.237180368955162,25.0,0.21166143541994095,18.443068398842208,-8.134238647313197,3.0,3.0,0,0,Financial,Credit Services
US,PML,7.539999961853027,pre_breakout,7.623484256813015,7.195073946810806,5.954216915200722,50.0,0.3489146308619493,33.30805604157162,-5.392284147531779,5.0,6.0,0,0,Financial,Closed-End Fund - Debt
US,WAL,82.30000305175781,pre_breakout,84.70220406453018,77.30500030517578,9.568855481731541,14.0,2.146943398261092,25.04498735328255,-6.612371159483887,3.0,2.0,0,0,Financial,Banks - Regional
US,SNY,44.65999984741211,pre_breakout,46.32220000291068,42.728060736335834,8.411660170475267,17.0,2.9439849081256213,15.072296592502612,-8.991024050021467,5.0,4.0,0,0,Healthcare,Drug Manufacturers - General
US,TPG,43.7400016784668,pre_breakout,45.8612691552787,38.40889728225512,19.40272280731832,15.0,4.06334679914354,33.253792344884644,-21.474029940177854,3.0,3.0,0,0,Financial,Asset Management
US,WU,8.880000114440918,pre_breakout,9.317628305789455,6.961421705725936,33.846629318914594,98.0,4.141283494547234,47.9237179440539,-0.7925840695481079,4.0,2.0,0,0,Financial,Credit Services
US,CRMD,8.420000076293945,pre_breakout,9.03000005086263,7.4649999141693115,20.96450307685595,14.0,6.440320300162027,51.9680828866113,-18.147724226740525,3.0,2.0,0,0,Healthcare,Biotechnology
US,ALKT,17.90999984741211,pre_breakout,19.31333287556966,14.044999599456787,37.510383954134355,26.0,7.026705987228814,60.840768460920216,-17.93172215618991,3.0,2.0,0,0,Technology,Software - Application
US,UBER,72.45999908447266,pre_breakout,78.50000190734863,69.28899993896485,13.293599238692364,26.0,7.523120173125991,23.031666289273822,-19.038618284946562,4.0,5.0,0,0,Technology,Software - Application
US,SONY,21.1200008392334,pre_breakout,23.22499990463257,19.66666603088379,18.0932236717749,28.0,9.142099855070422,23.450890613619325,-20.718017254010977,4.0,3.0,0,0,Technology,Consumer Electronics
US,IIIV,20.709999084472656,pre_breakout,23.983333587646484,19.1899995803833,24.978291360480796,26.0,14.937033500816543,36.63584001451298,-24.812600767751114,3.0,2.0,0,0,Technology,Software - Infrastructure
